,eventid,gname,gsubname,gname2,gsubname2,gname3,gsubname3,guncertain1,guncertain2,guncertain3
0,197000000001,MANO-D,,,,,,0.0,,
1,197000000002,23rd of September Communist League,,,,,,0.0,,
2,197001000001,Unknown,,,,,,0.0,,
3,197001000002,Unknown,,,,,,0.0,,
4,197001000003,Unknown,,,,,,0.0,,
5,197001010002,Black Nationalists,,,,,,0.0,,
6,197001020001,Tupamaros (Uruguay),,,,,,0.0,,
7,197001020002,Unknown,,,,,,0.0,,
8,197001020003,New Year's Gang,,,,,,0.0,,
9,197001030001,New Year's Gang,,,,,,0.0,,
10,197001050001,"Weather Underground, Weathermen",,,,,,0.0,,
11,197001060001,Left-Wing Militants,,,,,,0.0,,
12,197001080001,Unknown,,,,,,0.0,,
13,197001090001,Left-Wing Militants,,,,,,0.0,,
14,197001090002,Armed Commandos of Liberation,,,,,,1.0,,
15,197001100001,Commune 1,,,,,,0.0,,
16,197001110001,Eritrean Liberation Front,,,,,,0.0,,
17,197001120001,Black Nationalists,,,,,,0.0,,
18,197001120002,Strikers,,,,,,0.0,,
19,197001130001,Black Nationalists,,,,,,0.0,,
20,197001140001,Black Nationalists,,,,,,0.0,,
21,197001150001,Tupamaros (Uruguay),,,,,,0.0,,
22,197001190002,Black Nationalists,,,,,,1.0,,
23,197001190003,Student Radicals,,,,,,0.0,,
24,197001190004,White extremists,,,,,,0.0,,
25,197001200001,Unknown,,,,,,0.0,,
26,197001210001,Unknown,,,,,,0.0,,
27,197001220001,Armed Forces of National Liberation- Venezuela (FALN),,,,,,0.0,,
28,197001220002,Strikers,,,,,,0.0,,
29,197001250001,White extremists,,,,,,0.0,,
30,197001250002,Black Nationalists,,,,,,0.0,,
31,197001260001,Black Nationalists,,,,,,0.0,,
32,197001260003,Black Nationalists,,,,,,0.0,,
33,197001270002,Left-Wing Militants,,,,,,0.0,,
34,197001280001,Unknown,,,,,,0.0,,
35,197001280002,White extremists,,,,,,0.0,,
36,197001300001,Strikers,,,,,,0.0,,
37,197001300002,Strikers,,,,,,0.0,,
38,197001300003,Student Radicals,,,,,,0.0,,
39,197001310001,New People's Army (NPA),,,,,,0.0,,
40,197001310002,Unknown,,,,,,0.0,,
41,197002010001,Left-Wing Militants,,,,,,0.0,,
42,197002010002,Black Nationalists,,,,,,0.0,,
43,197002020001,Unknown,,,,,,0.0,,
44,197002030001,Unknown,,,,,,0.0,,
45,197002030002,Unknown,,,,,,0.0,,
46,197002040001,Strikers,,,,,,0.0,,
47,197002060001,Black Nationalists,,,,,,0.0,,
48,197002060002,White extremists,,,,,,0.0,,
49,197002060003,White extremists,,,,,,0.0,,
50,197002060004,Armed Revolutionary Independence Movement (MIRA),,,,,,0.0,,
51,197002060005,Armed Revolutionary Independence Movement (MIRA),,,,,,0.0,,
52,197002060006,Armed Revolutionary Independence Movement (MIRA),,,,,,0.0,,
53,197002060007,Student Radicals,,,,,,0.0,,
54,197002070003,Student Radicals,,,,,,0.0,,
55,197002080001,Armed Revolutionary Independence Movement (MIRA),,,,,,0.0,,
56,197002080002,Armed Revolutionary Independence Movement (MIRA),,,,,,0.0,,
57,197002090003,Armed Revolutionary Independence Movement (MIRA),,,,,,0.0,,
58,197002090004,Strikers,,,,,,0.0,,
59,197002100001,Popular Front for the Liberation of Palestine (PFLP),,,,,,0.0,,
60,197002110001,Student Radicals,,,,,,0.0,,
61,197002130001,Unknown,,,,,,0.0,,
62,197002130002,Popular Front for the Liberation of Palestine (PFLP),,,,,,0.0,,
63,197002130003,Black Nationalists,,,,,,1.0,,
64,197002150001,Left-Wing Militants,,,,,,0.0,,
65,197002150002,Student Radicals,,,,,,0.0,,
